@RELATION 'Page Blocks, with normalization, 10 pct of outliers'

@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'att10' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'no','yes'}

@DATA
0.0049813200498132005,0.010869565217391304,1.944633506035309E-4,0.0025940747830977312,0.3670886075949368,0.6343283582089553,2.684699232943076E-4,2.1205695243865495E-4,3.4687594848892164E-4,0.0015571473061351605,1.0,'no'
0.0062266500622665,0.010869565217391304,2.4307918825441363E-4,0.002160177134525031,0.3976793248945148,0.8731343283582089,5.248284214775939E-4,3.332323538321721E-4,6.50392403416728E-4,0.0012457178449081284,2.0,'no'
0.0062266500622665,0.030797101449275364,7.014570861055936E-4,0.005573629451408118,0.2478902953586498,0.7238805970149255,6.923698021800565E-4,7.270524083611027E-4,0.001582621514980705,0.0018685767673621925,3.0,'no'
0.0049813200498132005,0.010869565217391304,1.944633506035309E-4,0.0025940747830977312,0.33649789029535865,0.7260127931769724,6.721840936616875E-4,1.8176310209027567E-4,4.1191518883059445E-4,6.228589224540642E-4,4.0,'no'
0.0062266500622665,0.0036231884057971015,7.639631630852999E-5,9.180752821731381E-4,0.4725738396624473,0.9402985074626865,2.5232135647961244E-4,6.058770069675856E-5,2.1679746780557603E-4,9.342883836810962E-4,5.0,'no'
0.0049813200498132005,0.012681159420289856,2.2918894892558998E-4,0.00296651911663653,0.5253164556962027,1.0,2.906742026645135E-4,4.544077552256892E-4,7.154316437584008E-4,0.002491435689816257,6.0,'no'
0.0062266500622665,0.005434782608695652,1.180670342950009E-4,0.0012290663006780348,0.3850210970464135,0.6886993603411513,3.027856277755349E-4,9.088155104513784E-5,2.1679746780557603E-4,9.342883836810962E-4,7.0,'no'
0.0049813200498132005,0.009057971014492754,1.597377522814718E-4,0.0022216304495589327,0.2964135021097047,0.2889125799573561,0.0018167137666532096,9.088155104513784E-5,6.50392403416728E-5,0.0,8.0,'no'
0.0049813200498132005,0.007246376811594203,1.250121539594127E-4,0.001849186116020134,0.3670886075949368,0.48827292110874204,0.0018167137666532096,9.088155104513784E-5,1.300784806833456E-4,0.0,9.0,'no'
0.0049813200498132005,0.010869565217391304,1.944633506035309E-4,0.0025940747830977312,0.4578059071729958,0.9083155650319831,0.0015139281388776747,3.029385034837928E-4,5.419936695139401E-4,3.114294612270321E-4,10.0,'no'
0.0049813200498132005,0.0018115942028985507,2.0835358993235454E-5,7.31853115403739E-4,0.7890295358649789,1.0,0.0014129995962858296,3.029385034837928E-5,6.50392403416728E-5,0.0,11.0,'no'
