,0
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,1
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,1
222,0
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,1
254,0
255,1
256,1
257,1
258,0
259,1
260,0
261,0
262,1
263,1
264,1
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,1
287,1
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,1
301,0
302,0
303,1
304,1
305,0
306,1
307,0
308,1
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,1
324,1
325,0
326,0
327,1
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,0
340,0
341,1
342,1
343,1
344,0
345,0
346,1
347,1
348,1
349,0
350,1
351,0
352,0
353,0
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,1
365,0
366,0
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,1
375,1
376,1
377,0
378,0
379,0
380,0
381,1
382,1
383,1
384,0
385,0
386,0
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,0
410,0
411,1
412,1
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,1
427,1
428,0
429,0
430,0
431,1
432,0
433,1
434,1
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,0
443,1
444,0
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,0
453,0
454,0
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,1
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,1
480,0
481,0
482,1
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,1
491,0
492,1
493,0
494,0
495,1
496,1
497,0
498,1
499,0
